Category;Sub-Category;Manufacturer;MPN;Supplier;Supplier Ref;Quantity;Value;Type;Comment;SMD / THT;Footprint;Datasheet;Purchase;KiCad Lib;Room;Furniture;Drawer;Column;Raw
passiveComponents;capacitors;Wurth;885012205085;;;5;100n;MLCC, X7R;25V max;SMD;402;https://www.we-online.com/components/products/datasheet/885012205085.pdf;;;D265;;;;
passiveComponents;capacitors;Wurth;885012205067;;;3;10n;MLCC, X7R;50V max;SMD;402;https://www.we-online.com/components/products/datasheet/885012205067.pdf;;;D265;;;;
passiveComponents;capacitors;Wurth;885012106031;;;1;10u;MLCC, X5R;25V max;SMD;603;https://www.we-online.com/components/products/datasheet/885012106031.pdf;;;D265;;;;
passiveComponents;resistors;Multicomp Pro;MCVVT025M100CA1L;Farnell;2610879;1;10u;Aluminum Electrolytic;25V;SMD;4,0 x 5,4;https://www.farnell.com/datasheets/3486024.pdf;https://fr.farnell.com/multicomp/mcvvt025m100ca1l/condensateur-10-f-25v-cms/dp/2610879;;Patricia;;;;
passiveComponents;capacitors;Wurth;885012206076;;;5;1u;MLCC, X7R;25V max;SMD;603;https://www.we-online.com/components/products/datasheet/885012206076.pdf;;;D265;;;;
passiveComponents;capacitors;Wurth;885012107019;;;1;22u;MLCC, X5R;25V;SMD;805;https://www.we-online.com/components/products/datasheet/885012107019.pdf;;;D265;;;;
optoelectronic;LED;Wurth;150060GS55040;;;1;20mA;Green;Vf = 3,2V;SMD;603;https://www.we-online.com/components/products/datasheet/150060GS55040.pdf;;;D265;Tiro-clas;2;10;1
optoelectronic;LED;Wurth;150060BS55040;;;1;20mA;Blue;Vf = 3,2V;SMD;603;https://www.we-online.com/components/products/datasheet/150060BS55040.pdf;;;D265;Tiro-clas;2;10;3
optoelectronic;LED;Wurth;150060RS55040;;;3;20mA;Red;Vf = 2,0V;SMD;603;https://www.we-online.com/components/products/datasheet/150060RS55040.pdf;;;D265;Tiro-clas;2;10;4
connector;pinHeader_pinSocket;Wurth;613001;;;1;Kit;Pin Header connectors;;SMD, THT;1.27mm, 2mm, 2.54mm;https://www.we-online.com/en/components/products/download/inlay/613001;;;Patricia;;;;
passiveComponents;resistors;Yageo;RC0805FR-07330RL;RS;242-6989;1;330R;General purpose;125mW, 1%;SMD;805;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf;https://fr.rs-online.com/web/p/resistances-a-montage-en-surface/2426989;;Patricia;;;;
passiveComponents;resistors;Yageo;RC0805FR-0710KL;RS;618-5163;7;10k;General Purpose;125mW, 1%;SMD;805;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf;https://fr.rs-online.com/web/p/resistances-a-montage-en-surface/6185163;;Patricia;;;;
passiveComponents;resistors;RS Pro;804-8845;RS;804-8845;2;1k;General Purpose;100mW;SMD;603;https://docs.rs-online.com/21eb/0900766b8157cb45.pdf;https://fr.rs-online.com/web/p/resistances-a-montage-en-surface/8048845;;Patricia;;;;
passiveComponents;resistors;Multicomp Pro;MP000459;Farnell;3213383;1;Kit (82,5);General purpose;0R -> 1M, 200mW, 1%;SMD;603;https://www.farnell.com/datasheets/2830050.pdf;https://fr.farnell.com/multicomp-pro/mp000459/kit-res-chip-0603-0-2w-1-6050pc/dp/3213383;;Patricia;;;;
passiveComponents;resistors;Yageo;RC0805FR-071K5L;RS;199-5668;2;1k5;General Purpose;125mW, 1%;SMD;805;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf;https://fr.rs-online.com/web/p/resistances-a-montage-en-surface/1995668;;Patricia;;;;
passiveComponents;resistors;Yageo;RC0805FR-074K7L;RS;242-7021;1;4k7;General Purpose;125mW, 1%;SMD;805;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf;https://fr.rs-online.com/web/p/resistances-a-montage-en-surface/2427021;;Patricia;;;;
passiveComponents;resistors;Wurth;560112;;;1;Kit(680R);General purpose;0R -> 1M;SMD;402;https://www.we-online.com/en/components/products/download/inlay/560112;;;Patricia;;;;
